"table","long_name","units","comment","questions_and_notes","output_variable_name","standard_name","unconfirmed_or_proposed_standard_name","unformatted_units","cell_methods","valid_min","valid_max","mean_absolute_min","mean_absolute_max","positive","type","CMOR_dimensions","CMOR_variable_name","realm","frequency","cell_measures","flag_values","flag_meanings"
"Lmon","Total Primary Evergreen Tree Cover Fraction","%","fraction of entire grid cell  that is covered by primary evergreen trees.","Note that if this variable is independent of time, it should be stored only for a single time (of the user's choosing).","treeFracPrimEver","area_fraction",,"%","time: mean",,,,,,"real","longitude latitude time typepever","treeFracPrimEver","land",,"area: areacella",,
"Lmon","Total Secondary Deciduous Tree Cover Fraction","%","fraction of entire grid cell  that is covered by secondary deciduous trees.","Note that if this variable is independent of time, it should be stored only for a single time (of the user's choosing).","treeFracSecDec","area_fraction",,"%","time: mean",,,,,,"real","longitude latitude time typesdec","treeFracSecDec","land",,"area: areacella",,
"Lmon","Total Secondary Evergreen Tree Cover Fraction","%","fraction of entire grid cell  that is covered by secondary evergreen trees.","Note that if this variable is independent of time, it should be stored only for a single time (of the user's choosing).","treeFracSecEver","area_fraction",,"%","time: mean",,,,,,"real","longitude latitude time typesever","treeFracSecEver","land",,"area: areacella",,
"Lmon","Total C3 PFT Cover Fraction","%","fraction of entire grid cell  that is covered by C3 PFTs (including grass, crops, and trees).","Note that if this variable is independent of time, it should be stored only for a single time (of the user's choosing).","c3PftFrac","area_fraction",,"%","time: mean",,,,,,"real","longitude latitude time typec3pft","c3PftFrac","land",,"area: areacella",,
"Lmon","Total C4 PFT Cover Fraction","%","fraction of entire grid cell  that is covered by C4 PFTs (including grass and crops).","Note that if this variable is independent of time, it should be stored only for a single time (of the user's choosing).","c4PftFrac","area_fraction",,"%","time: mean",,,,,,"real","longitude latitude time typec4pft","c4PftFrac","land",,"area: areacella",,
"Lmon","Carbon Mass Flux into Atmosphere due to Growth Autotrophic Respiration on Land","kg m-2 s-1",,"This flux and the one in the following row provide a breakdown of the higher priority ""Autotrophic (Plant) Respiration"" in an earlier row of this table; thus the sum should be identical to that.","rGrowth","surface_upward_carbon_mass_flux_due_to_plant_respiration_for_biomass_growth",,"kg m-2 s-1","time: mean area: mean where land",,,,,"up","real","longitude latitude time","rGrowth","land",,"area: areacella",,
"Lmon","Carbon Mass Flux into Atmosphere due to Maintenance Autotrophic Respiration on Land","kg m-2 s-1",,"This flux and the one in the previous row provide a breakdown of the higher priority ""Autotrophic (Plant) Respiration"" in an earlier row of this table; thus the sum should be identical to that.","rMaint","surface_upward_carbon_mass_flux_due_to_plant_respiration_for_biomass_maintenance",,"kg m-2 s-1","time: mean area: mean where land",,,,,"up","real","longitude latitude time","rMaint","land",,"area: areacella",,
"Lmon","Carbon Mass Flux due to NPP Allocation to Leaf","kg m-2 s-1","This is the rate of carbon uptake by leaves due to NPP",,"nppLeaf","net_primary_productivity_of_carbon_accumulated_in_leaves",,"kg m-2 s-1","time: mean area: mean where land",,,,,"down","real","longitude latitude time","nppLeaf","land",,"area: areacella",,
"Lmon","Carbon Mass Flux due to NPP Allocation to Wood","kg m-2 s-1","This is the rate of carbon uptake by wood due to NPP",,"nppWood","net_primary_productivity_of_carbon_accumulated_in_wood",,"kg m-2 s-1","time: mean area: mean where land",,,,,"down","real","longitude latitude time","nppWood","land",,"area: areacella",,
"Lmon","Carbon Mass Flux due to NPP Allocation to Roots","kg m-2 s-1","This is the rate of carbon uptake by roots due to NPP",,"nppRoot","net_primary_productivity_of_carbon_accumulated_in_roots",,"kg m-2 s-1","time: mean area: mean where land",,,,,"down","real","longitude latitude time","nppRoot","land",,"area: areacella",,
"Lmon","Net Carbon Mass Flux out of Atmophere due to Net Ecosystem Productivity on Land.","kg m-2 s-1","Natural flux of CO2 (expressed as a mass flux of carbon) from the atmosphere to the land calculated as the difference between uptake associated will photosynthesis and the release of CO2 from the sum of plant and soil respiration and fire.  Positive flux is into the land.  emissions from natural fires + human ignition fires as calculated by the fire module of the DGVM, but excluding any CO2 flux from fire included in fLuc, defined below (CO2 Flux to Atmosphere from Land Use Change).",,"nep","surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes_excluding_anthropogenic_land_use_change",,"kg m-2 s-1","time: mean area: mean where land",,,,,"down","real","longitude latitude time","nep","land",,"area: areacella",,
"LImon","Snow Area Fraction","%","Fraction of each grid cell that is occupied by snow that rests on land portion of cell.",,"snc","surface_snow_area_fraction",,"%","time: mean",,,,,,"real","longitude latitude time","snc","landIce land",,"area: areacella",,
"LImon","Surface Snow Amount","kg m-2","Computed as the mass of surface snow on the land portion of the grid cell divided by the land area in the grid cell; reported as 0.0 where the land fraction is 0; excluded is snow on vegetation canopy or on sea ice.",,"snw","surface_snow_amount",,"kg m-2","time: mean area: mean where land",,,,,,"real","longitude latitude time","snw","landIce land",,"area: areacella",,
"LImon","Snow Depth","m","where land over land, this is computed as the mean thickness of snow in the land portion of the grid cell (averaging over the entire land portion, including the snow-free fraction).  Reported as 0.0 where the land fraction is 0.",,"snd","surface_snow_thickness",,"m","time: mean area: mean where land",,,,,,"real","longitude latitude time","snd","landIce land",,"area: areacella",,
"LImon","Liquid Water Content of Snow Layer","kg m-2","where land over land: this is computed as the total mass of liquid water contained interstitially within the snow layer of the land portion of a grid cell divided by the area of the land portion of the cell.",,"lwsnl","liquid_water_content_of_snow_layer",,"kg m-2","time: mean area: mean where land",,,,,,"real","longitude latitude time","lwsnl","landIce land",,"area: areacella",,
"LImon","Snow Soot Content","kg m-2","the entire land portion of the grid cell is considered, with snow soot content set to 0.0 in regions free of snow.",,"sootsn","soot_content_of_surface_snow",,"kg m-2","time: mean area: mean where land",,,,,,"real","longitude latitude time","sootsn","landIce land",,"area: areacella",,
"LImon","Snow Age","day","When computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.  Reported as ""missing in regions free of snow on land.",,"agesno","age_of_surface_snow",,"day","time: mean (with samples weighted by snow mass) area: mean where land",,,,,,"real","longitude latitude time","agesno","landIce land",,"area: areacella",,
"LImon","Snow Internal Temperature","K","This temperature is averaged over all the snow in the grid cell that rests on land or land ice.  When computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.   Reported as ""missing in regions free of snow on land.",,"tsn","temperature_in_surface_snow",,"K","time: mean (with samples weighted by snow mass) area: mean where land",,,,,,"real","longitude latitude time","tsn","landIce land",,"area: areacella",,
"LImon","Surface Snow Melt","kg m-2 s-1","Computed as the total surface melt water on the land portion of the grid cell divided by the land area in the grid cell; report as 0.0 for snow-free land regions; report as 0.0 where the land fraction is 0.",,"snm","surface_snow_melt_flux",,"kg m-2 s-1","time: mean area: mean where land",,,,,,"real","longitude latitude time","snm","landIce land",,"area: areacella",,
"LImon","Surface Snow and Ice Sublimation Flux","kg m-2 s-1","The snow and ice sublimation flux is the loss of snow and ice mass resulting from their conversion to water vapor.  Computed as the total sublimation on the land portion of the grid cell divided by the land area in the grid cell; reported as 0.0 for snow-free land regions; reported as 0.0 where the land fraction is 0.",,"sbl","surface_snow_and_ice_sublimation_flux",,"kg m-2 s-1","time: mean area: mean where land",,,,,,"real","longitude latitude time","sbl","landIce land",,"area: areacella",,
"LImon","Downward Heat Flux into Snow Where Land over Land","W m-2","the net downward heat flux from the atmosphere into the snow that lies on land divided by the land area in the grid cell; reported as 0.0 for snow-free land regions or where the land fraction is 0.",,"hfdsn","surface_downward_heat_flux_in_snow",,"W m-2","time: mean area: mean where land",,,,,"down","real","longitude latitude time","hfdsn","landIce land",,"area: areacella",,
"LImon","Permafrost Layer Thickness","m","where land over land: This is the mean thickness of the permafrost layer in the land portion of the grid cell.  Reported as 0.0 in permafrost-free regions.",,"tpf","permafrost_layer_thickness",,"m","time: mean area: mean where land",,,,,,"real","longitude latitude time","tpf","landIce land",,"area: areacella",,
"LImon","Liquid Water Content of Permafrost Layer","kg m-2","""where land over land"", i.e., this is the total mass of liquid water contained within the permafrost layer within the land portion of a grid cell divided by the area of the land portion of the cell.","Why do you want to know mass of liquid water?  Are you studying the seaasonal melting/freezing cycle?  Don't you care about how much frozen water is tied up as permafrost?","pflw","liquid_water_content_of_permafrost_layer",,"kg m-2","time: mean area: mean where land",,,,,,"real","longitude latitude time","pflw","landIce land",,"area: areacella",,
"OImon","Sea Ice Area Fraction","%","fraction of grid cell covered by sea ice.",,"sic","sea_ice_area_fraction",,"%","time: mean",,,,,,"real","longitude latitude time","sic","seaIce ocean",,"area: areacello",,
"OImon","Sea Ice Thickness","m","the mean thickness of sea ice in the ocean portion of the grid cell (averaging over the entire ocean portion, including the ice-free fraction).  Reported as 0.0 in regions free of sea ice.",,"sit","sea_ice_thickness",,"m","time: mean area: mean where sea",,,,,,"real","longitude latitude time","sit","seaIce ocean",,"area: areacello",,
"OImon","Sea Ice Plus Surface Snow Amount","kg m-2","the  mass per unit area of sea ice plus snow in the ocean portion of the grid cell (averaging over the entire ocean portion, including the ice-free fraction).  Reported as 0.0 in regions free of sea ice.",,"sim","sea_ice_and_surface_snow_amount",,"kg m-2","time: mean area: mean where sea",,,,,,"real","longitude latitude time","sim","seaIce ocean",,"area: areacello",,
"OImon",,,,,,,,,,,,,,,,,,,,,,
"OImon","Water Evaporation Flux from Sea Ice","kg m-2 s-1","the average rate that water mass evaporates (or sublimates) from the sea ice surface (i.e., kg/s) divided by the area of the ocean (i.e., open ocean + sea ice) portion of the grid cell. This quantity, multiplied both by the oean area of the grid cell and by the length of the month, should yield the total mass of water evaporated (or sublimated) from the sea ice.  Reported as 0.0 in regions free of sea ice.  [This was computed differently in CMIP3.]",,"evap","water_evaporation_flux",,"kg m-2 s-1","time: mean area: mean where sea_ice over sea",,,,,"up","real","longitude latitude time","evap","seaIce",,"area: areacello",,
"OImon","Snow Depth","m","the mean thickness of snow in the ocean portion of the grid cell (averaging over the entire ocean portion, including the snow-free ocean fraction).  Reported as 0.0 in regions free of snow-covered sea ice.",," snd","surface_snow_thickness",,"m","time: mean area: mean where sea",,,,,,"real","longitude latitude time"," snd","seaIce",,"area: areacello",,
"OImon","Surface Snow Area Fraction","%","Fraction of entire grid cell covered by snow that lies on sea ice; exclude snow that lies on land or land ice.",," snc","surface_snow_area_fraction",,"%","time: mean",,,,,,"real","longitude latitude time"," snc","seaIce",,"area: areacello",,
"OImon","Sea Ice Albedo",1,"Reported as ""missing"" if there is no sunlight or if a region is free of sea ice.","This variable may be omitted unless the answers to the following questions are obvious:  Will this vary from year to year or is it a property of ""bare sea ice"" and sun angle? How is the time-mean calculated?"," ialb","sea_ice_albedo",,1,"time: mean area: mean where sea_ice",,,,,,"real","longitude latitude time"," ialb","seaIce",,"area: areacello",,
"OImon","Sea Ice Salinity","psu","When computing the time-mean here, the time-samples, weighted by the mass of sea ice in the grid cell, are accumulated and then divided by the sum of the weights.  Reported as ""missing"" in regions free of sea ice.",,"ssi","sea_ice_salinity",,"psu","time: mean (weighted by mass of sea ice)",,,,,,"real","longitude latitude time","ssi","seaIce",,"area: areacello",,
"OImon","Surface Temperature of Sea Ice","K","When computing the time-mean here, the time-samples, weighted by the area of sea ice in the grid cell, are accumulated and then divided by the sum of the weights.  Reported as ""missing"" in regions free of sea ice.  Note this will be the surface snow temperature in regions where snow covers the sea ice.",," tsice","surface_temperature",,"K","time: mean (weighted by area of sea ice)",,,,,,"real","longitude latitude time"," tsice","seaIce",,"area: areacello",,
"OImon","Temperature at Interface Between Sea Ice and Snow","K","When computing the time-mean here, the time-samples, weighted by the area of snow-covered sea ice in the grid cell, are accumulated and then divided by the sum of the weights.  Reported as ""missing"" in regions free of snow-covered sea ice.",," tsnint","sea_ice_surface_temperature",,"K","time: mean (weighted by area of snow-covered sea ice)",,,,,,"real","longitude latitude time"," tsnint","seaIce",,"area: areacello",,
"OImon","Surface Rainfall Rate into the Sea Ice Portion of the Grid Cell","kg m-2 s-1","where sea ice over sea: this is the the water mass per unit time falling as rain onto the sea ice portion of a grid cell divided by the area of the ocean portion of the grid cell (including both ice-free and sea-ice covered fractions).  Reported as 0. in regions free of sea ice.",," pr","rainfall_flux",,"kg m-2 s-1","time: mean area: mean where sea_ice over sea",,,,,,"real","longitude latitude time"," pr","seaIce",,"area: areacello",,
"OImon","Surface Snowfall Rate into the Sea Ice Portion of the Grid Cell","kg m-2 s-1","where sea ice over sea: this is computed as the total mass per unit time of solid-phase precipitation falling onto the sea ice portion of a grid cell divided by the area of the ocean portion of the grid cell (including both ice-free and sea-ice covered fractions).  Reported as 0. in regions free of sea ice. (Snowfall flux includes all types of solid-phase precipitation.)",," prsn","snowfall_flux",,"kg m-2 s-1","time: mean area: mean where sea_ice over sea",,,,,,"real","longitude latitude time"," prsn","seaIce",,"area: areacello",,
"OImon","Age of Sea Ice","years","When computing the time-mean here, the time samples, weighted by the mass of sea ice in the grid cell, are accumulated and then divided by the sum of the weights.  Reported as ""missing"" in regions free of sea ice.",," ageice","age_of_sea_ice",,"years","time: mean (weighted b mass of sea ice)",,,,,,"real","longitude latitude time"," ageice","seaIce",,"area: areacello",,
"OImon","Frazil Sea Ice Growth (Leads) Rate","kg m-2 s-1","the rate of change of sea ice mass due to frazil sea ice formation divided by the area of the ocean portion of the grid cell.  Reported as 0.0 in regions free of sea ice.",," grFrazil","tendency_of_sea_ice_amount_due_to_frazil_ice_accumulation_in_leads",,"kg m-2 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude time"," grFrazil","seaIce",,"area: areacello",,
"OImon","Congelation Sea Ice Growth Rate","kg m-2 s-1","the rate of change of sea ice mass due to congelation sea ice divided by the area of the ocean portion of the grid cell.  Reported as 0.0 in regions free of sea ice.",," grCongel","tendency_of_sea_ice_amount_due_to_congelation_ice_accumulation",,"kg m-2 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude time"," grCongel","seaIce",,"area: areacello",,
"OImon","Lateral Sea Ice Growth Rate","kg m-2 s-1","the rate of change of sea ice mass due to lateral growth alone of the sea ice divided by the area of the ocean portion of the grid cell.  Reported as 0.0 in regions free of sea ice.",," grLateral","tendency_of_sea_ice_amount_due_to_lateral_growth_of_ice_floes",,"kg m-2 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude time"," grLateral","seaIce",,"area: areacello",,
"OImon","Snow-Ice Formation Rate","kg m-2 s-1","the rate of change of sea ice mass due to transformation of snow to sea ice, divided by the area of the ocean portion of the grid cell.  Reported as 0.0 in regions free of snow-covered sea ice.",," snoToIce","tendency_of_sea_ice_amount_due_to_snow_conversion",,"kg m-2 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude time"," snoToIce","seaIce",,"area: areacello",,
"OImon","Snow Melt Rate","kg m-2 s-1","the rate of change of snow mass  due to melting, divided by the area of the ocean portion of the grid cell.  Reported as 0.0 in regions free of sea ice.  Includes falling snow that melts on impact with the surface.",," snomelt","surface_snow_melt_flux",,"kg m-2 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude time"," snomelt","seaIce",,"area: areacello",,
"OImon","Rate of Melt at Upper Surface of Sea Ice","kg m-2 s-1","the rate of change of sea ice mass due to melting at its upper surface, divided by the area of the ocean portion of the grid cell.  Reported as 0.0 in regions free of sea ice. Does not include rate of change of snow mass.",," tmelt","tendency_of_sea_ice_amount_due_to_surface_melting",,"kg m-2 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude time"," tmelt","seaIce",,"area: areacello",,
"OImon","Rate of Melt at Sea Ice Base","kg m-2 s-1","the rate of change of sea ice mass due to melting at its lower surface, divided by the area of the ocean portion of the grid cell.  Reported as 0.0 in regions free of sea ice.",," bmelt","tendency_of_sea_ice_amount_due_to_basal_melting",,"kg m-2 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude time"," bmelt","seaIce",,"area: areacello",,
"OImon","Sea Ice Heat Content","J m-2","Ice at 0 Celsius is assumed taken to have a heat content of 0 J.  When averaging over time, this quantity is weighted by the mass of sea ice.   Reported as ""missing in regions free of sea ice.  Does not include heat content of snow.",," hcice","integral_of_sea_ice_temperature_wrt_depth_expressed_as_heat_content",,"J m-2","time: mean (weighted by mass of sea ice)",,,,,,"real","longitude latitude time"," hcice","seaIce",,"area: areacello",,
"OImon","Downwelling Shortwave over Sea Ice","W m-2","the downwelling shortwave flux in regions of sea ice divided by the area of the ocean portion of the grid cell.","priority was raised from 2 to 1 because snow albedo was deleted."," rsdssi","surface_downwelling_shortwave_flux_in_air",,"W m-2","time: mean area: mean where sea_ice over sea",,,,,"down","real","longitude latitude time"," rsdssi","seaIce",,"area: areacello",,
"OImon","Upward Shortwave over Sea Ice","W m-2","the upward shortwave flux in regions of sea ice divided by the area of the ocean portion of the grid cell.","priority was raised from 2 to 1 because snow albedo was deleted."," rsussi","surface_upwelling_shortwave_flux_in_air",,"W m-2","time: mean area: mean where sea_ice over sea",,,,,"up","real","longitude latitude time"," rsussi","seaIce",,"area: areacello",,
"OImon","Downwelling Long Wave over Sea Ice","W m-2","the downwelling longwave flux in regions of sea ice divided by the area of the ocean portion of the grid cell.",," rldssi","surface_downwelling_longwave_flux_in_air",,"W m-2","time: mean area: mean where sea_ice over sea",,,,,"down","real","longitude latitude time"," rldssi","seaIce",,"area: areacello",,
"OImon","Upward Long Wave over Sea Ice","W m-2","the upward longwave flux in regions of sea ice divided by the area of the ocean portion of the grid cell.",," rlussi","surface_upwelling_longwave_flux_in_air",,"W m-2","time: mean area: mean where sea_ice over sea",,,,,"up","real","longitude latitude time"," rlussi","seaIce",,"area: areacello",,
"OImon","Surface Upward Sensible Heat Flux over Sea Ice","W m-2","the upward sensible heat flux in regions of sea ice divided by the area of the ocean portion of the grid cell.",," hfssi","surface_upward_sensible_heat_flux",,"W m-2","time: mean area: mean where sea_ice over sea",,,,,"up","real","longitude latitude time"," hfssi","seaIce",,"area: areacello",,
"OImon","Surface Upward Latent Heat Flux over Sea Ice","W m-2","the upward latent heat flux in regions of sea ice divided by the area of the ocean portion of the grid cell.",," hflssi","surface_upward_latent_heat_flux",,"W m-2","time: mean area: mean where sea_ice over sea",,,,,"up","real","longitude latitude time"," hflssi","seaIce",,"area: areacello",,
"OImon","Sublimation over Sea Ice","kg m-2 s-1","the upward flux of water vapor to the atmosphere due to sublimation of snow and sea  ice in regions of sea ice divided by the area of the ocean portion of the grid cell.",," sblsi","surface_snow_and_ice_sublimation_flux",,"kg m-2 s-1","time: mean area: mean where sea_ice over sea",,,,,"up","real","longitude latitude time"," sblsi","seaIce",,"area: areacello",,
"OImon","X-Component of Sea Ice Mass Transport","kg s-1","The sea ice mass transport is 0.0 in ice-free regions of the ocean.  Snow is included in calculation of mass.",,"transix","sea_ice_x_transport",,"kg s-1","time: mean",,,,,,"real","longitude latitude time","transix","seaIce",,,,
"OImon","Y-Component of Sea Ice Mass Transport","kg s-1","The sea ice mass transport is 0.0 in ice-free regions of the ocean.  Snow is included in calculation of mass.",,"transiy","sea_ice_y_transport",,"kg s-1","time: mean",,,,,,"real","longitude latitude time","transiy","seaIce",,,,
"OImon","Sea Ice Mass Transport Through Fram Strait","kg s-1",,,"transifs","sea_ice_transport_across_line",,"kg s-1","time: mean",,,,,,"real","time","transifs","seaIce",,,,
"OImon","X-Component of Atmospheric Stress On Sea Ice","N m-2","When computing the time-mean here, the time samples, weighted by the area of sea ice, are accumulated and then divided by the sum of the weights.   Reported as ""missing"" in regions free of sea ice.",,"strairx","surface_downward_x_stress",,"N m-2","time: mean (weighted by area of sea ice)",,,,,"down","real","longitude latitude time","strairx","seaIce",,,,
"OImon","Y-Component of Atmospheric Stress On Sea Ice","N m-2","When computing the time-mean here, the time samples, weighted by the area of sea ice, are accumulated and then divided by the sum of the weights.   Reported as ""missing"" in regions free of sea ice.",,"strairy","surface_downward_y_stress",,"N m-2","time: mean (weighted by area of sea ice)",,,,,"down","real","longitude latitude time","strairy","seaIce",,,,
"OImon","X-Component of Ocean Stress On Sea Ice","N m-2","When computing the time-mean here, the time samples, weighted by the area of sea ice, are accumulated and then divided by the sum of the weights.   Report as ""missing"" in regions free of sea ice.",,"strocnx","upward_x_stress_at_sea_ice_base",,"N m-2","time: mean (weighted by area of sea ice)",,,,,,"real","longitude latitude time","strocnx","seaIce ocean",,,,
"OImon","Y-Component of Ocean Stress On Sea Ice","N m-2","When computing the time-mean here, the time samples, weighted by the area of sea ice, are accumulated and then divided by the sum of the weights.   Reported as ""missing"" in regions free of sea ice.",,"strocny","upward_y_stress_at_sea_ice_base",,"N m-2","time: mean (weighted by area of sea ice)",,,,,,"real","longitude latitude time","strocny","seaIce ocean",,,,
"OImon","Compressive Sea Ice Strength","N m-1","When computing the time-mean here, the time samples, weighted by the area of sea ice, are accumulated and then divided by the sum of the weights.   Reported as ""missing"" in regions free of sea ice.",,"streng","compressive_strength_of_sea_ice",,"N m-1","time: mean (weighted by area of sea ice)",,,,,,"real","longitude latitude time","streng","seaIce",,"area: areacello",,
"OImon","Strain Rate Divergence of Sea Ice","s-1","When computing the time-mean here, the time samples, weighted by the area of sea ice, are accumulated and then divided by the sum of the weights.   Reported as ""missing"" in regions free of sea ice.",,"divice","divergence_of_sea_ice_velocity",,"s-1","time: mean (weighted by area of sea ice)",,,,,,"real","longitude latitude time","divice","seaIce",,"area: areacello",,
"OImon","Eastward Derivative of Northward Sea Ice Velocity","s-1","When computing the time-mean here, the time samples, weighted by the area of sea ice, are accumulated and then divided by the sum of the weights.   Reported as ""missing"" in regions free of sea ice.",,"eshrice","eastward_derivative_of_northward_sea_ice_velocity",,"s-1","time: mean (weighted by area of sea ice)",,,,,,"real","longitude latitude time","eshrice","seaIce",,"area: areacello",,
"OImon","Northward Derivative of Eastward Sea Ice Velocity","s-1","When computing the time-mean here, the time samples, weighted by the area of sea ice, are accumulated and then divided by the sum of the weights.   Reported as ""missing"" in regions free of sea ice.",,"nshrice","northward_derivative_of_eastward_sea_ice_velocity",,"s-1","time: mean (weighted by area of sea ice)",,,,,,"real","longitude latitude time","nshrice","seaIce",,"area: areacello",,
"OImon","Sea Ice Ridging Rate","s-1","When computing the time-mean here, the time samples, weighted by the area of sea ice, are accumulated and then divided by the sum of the weights.   Reported as ""missing"" in regions free of sea ice.",,"ridgice","tendency_of_sea_ice_area_fraction_due_to_ridging",,"s-1","time: mean (weighted by area of sea ice)",,,,,,"real","longitude latitude time","ridgice","seaIce",,"area: areacello",,
"aero","Ambient Aerosol Optical Thickness at 550 nm",1,"AOD from the ambient aerosls (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types.",,"od550aer","atmosphere_optical_thickness_due_to_ambient_aerosol",,1,"time: mean",,,,,,"real","longitude latitude time","od550aer","aerosol",,"area: areacella",,
"aero","Ambient Fine Aerosol Optical Thickness at 550 nm",1,"od550 due to particles with wet diameter less than 1 um  (""ambient"" means ""wetted""). When models do not include explicit size information, it can be assumed that all anthropogenic aerosols and natural secondary aerosols have diameter less than 1 um.",,"od550lt1aer","atmosphere_optical_thickness_due_to_pm1_ambient_aerosol",,1,"time: mean",,,,,,"real","longitude latitude time","od550lt1aer","aerosol",,"area: areacella",,
"aero","Ambient Aerosol Absorption Optical Thickness at 550 nm",1,,,"abs550aer","atmosphere_absorption_optical_thickness_due_to_ambient_aerosol",,1,"time: mean",,,,,,"real","longitude latitude time","abs550aer","aerosol",,"area: areacella",,
"aero","Ambient Aerosol Optical Thickness at 870 nm",1,"AOD from the ambient aerosls (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types.",,"od870aer","atmosphere_optical_thickness_due_to_ambient_aerosol",,1,"time: mean",,,,,,"real","longitude latitude time","od870aer","aerosol",,"area: areacella",,
"aero","Rate of Emission and Production of Dry Aerosol Total Organic Matter","kg m-2 s-1","tendency of atmosphere mass content of organic matter dry aerosol due to net production and emission.  This is the sum of total emission of POA and total production of SOA (see next two entries). ""Mass"" refers to the mass of organic matter, not mass of organic carbon alone.","This should only be reported if POA and SOA cannot be separately reported.","emioa","tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_net_chemical_production_and_emission",,"kg m-2 s-1","time: mean",,,,,,"real","longitude latitude time","emioa","aerosol",,"area: areacella",,
"aero","Emission Rate of Dry Aerosol Primary Organic Matter","kg m-2 s-1","tendency of atmosphere mass content of primary organic aerosol due to emission:  ""mass"" refers to the mass of primary organic matter, not mass of organic carbon alone.","In a previous message you said production referred to SOA, not POA, so I've removed ""production"" here and only use ""emission"".  Is this o.k.?","emipoa","tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_emission",,"kg m-2 s-1","time: mean",,,,,,"real","longitude latitude time","emipoa","aerosol",,"area: areacella",,
"aero","Production Rate of Dry Aerosol Secondary Organic Matter","kg m-2 s-1","tendency of atmosphere mass content of secondary organic matter_dry aerosol due to net production:  If model lumps SOA emissions with POA, then the sum of POA and SOA emissions is reported as POA emissions.  ""mass"" refers to the mass of primary organic matter, not mass of organic carbon alone.",,"chepsoa","tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_due_to_net_chemical_production",,"kg m-2 s-1","time: mean",,,,,,"real","longitude latitude time","chepsoa","aerosol",,"area: areacella",,
"aero","Emission Rate of Black Carbon Aerosol Mass","kg m-2 s-1",,,"emibc","tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_emission",,"kg m-2 s-1","time: mean",,,,,,"real","longitude latitude time","emibc","aerosol",,"area: areacella",,
"aero","Dry Deposition Rate of Dry Aerosol Organic Matter","kg m-2 s-1","tendency of atmosphere mass content of organic dry aerosol due to dry deposition: This is the sum of dry deposition of POA and dry deposition of SOA (see next two entries). ""Mass"" refers to the mass of organic matter, not mass of organic carbon alone."," This should only be reported if POA and SOA cannot be separately reported.","dryoa","tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_dry_deposition",,"kg m-2 s-1","time: mean",,,,,,"real","longitude latitude time","dryoa","aerosol",,"area: areacella",,
"aero","Dry Deposition Rate of Dry Aerosol Primary Organic Matter","kg m-2 s-1",,,"drypoa","tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_dry_deposition",,"kg m-2 s-1","time: mean",,,,,,"real","longitude latitude time","drypoa","aerosol",,"area: areacella",,
"aero","Dry Deposition Rate of Dry Aerosol Secondary Organic Matter","kg m-2 s-1",,,"drysoa","tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_due_to_dry_deposition",,"kg m-2 s-1","time: mean",,,,,,"real","longitude latitude time","drysoa","aerosol",,"area: areacella",,
"aero","Dry Deposition Rate of Black Carbon Aerosol Mass","kg m-2 s-1",,,"drybc","tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_dry_deposition",,"kg m-2 s-1","time: mean",,,,,,"real","longitude latitude time","drybc","aerosol",,"area: areacella",,
"aero","Wet Deposition Rate of Dry Aerosol Organic Matter","kg m-2 s-1","tendency of atmosphere mass content of organic matter dry aerosols due to wet deposition: This is the sum of wet deposition of POA and wet deposition of SOA (see next two entries). ""Mass"" refers to the mass of organic matter, not mass of organic carbon alone.","This should only be reported if POA and SOA cannot be separately reported.","wetoa","tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_wet_deposition",,"kg m-2 s-1","time: mean",,,,,,"real","longitude latitude time","wetoa","aerosol",,"area: areacella",,
"aero","Wet Deposition Rate of Dry Aerosol Primary Organic Matter","kg m-2 s-1",,,"wetpoa","tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_wet_deposition",,"kg m-2 s-1","time: mean",,,,,,"real","longitude latitude time","wetpoa","aerosol",,"area: areacella",,
